gos	name	T4_expanded	T7_expanded	T4_filtered	T7_filtered	T4_original	T7_original	T4_expanded_nodes	T7_expanded_nodes	T4_filtered_nodes	T7_filtered_nodes	T4_expanded_ancestors	T7_expanded_ancestors	T4_filtered_ancestors	T7_filtered_ancestors
GO:0003674	molecular_function	18.1270258618293	18.0873666203626	18.1270258618293	18.0873666203626	NA	NA	NA	NA	NA	NA	18.1270258618293	18.0873666203626	18.1270258618293	18.0873666203626
GO:0003824	catalytic activity	17.0306907099716	17.6513572770737	17.0306907099716	17.6513572770737	2525.62	1173.93566666667	NA	NA	NA	NA	17.0306907099716	17.6513572770737	17.0306907099716	17.6513572770737
GO:0016740	transferase activity	14.5629297640548	13.7634659649722	14.5629297640548	13.7634659649722	1552.39	1239.89	NA	NA	NA	NA	14.5629297640548	13.7634659649722	14.5629297640548	13.7634659649722
GO:0016787	hydrolase activity	15.8304385641694	17.2264607650877	15.8304385641694	17.2264607650877	2731.48	1283.03133333333	NA	NA	NA	NA	15.8304385641694	17.2264607650877	15.8304385641694	17.2264607650877
GO:0016491	oxidoreductase activity	15.0776762684696	14.9093208730107	15.0776762684696	14.9093208730107	8648.74	12169.8133333333	NA	NA	NA	NA	15.0776762684696	14.9093208730107	15.0776762684696	14.9093208730107
GO:0005215	transporter activity	13.2124944843726	12.5753420622407	13.2124944843726	12.5753420622407	759.898666666667	974.865666666667	NA	NA	NA	NA	13.2124944843726	12.5753420622407	13.2124944843726	12.5753420622407
GO:0022857	transmembrane transporter activity	13.0921068511576	12.3241662861867	13.0921068511576	12.3241662861867	0.0343116666666667	0.388276333333333	NA	NA	NA	NA	13.0921068511576	12.3241662861867	13.0921068511576	12.3241662861867
GO:0016772	transferase activity, transferring phosphorus-containing groups	13.3365011689223	12.5600288402115	13.3365011689223	12.5600288402115	0.078163	0.158226	NA	NA	NA	NA	13.3365011689223	12.5600288402115	13.3365011689223	12.5600288402115
GO:0005488	binding	16.6671177300858	15.7215994589431	16.6671177300858	15.7215994589431	NA	NA	NA	NA	NA	NA	16.6671177300858	15.7215994589431	16.6671177300858	15.7215994589431
GO:0015075	ion transmembrane transporter activity	12.5328617564621	11.6355436870339	12.5328617564621	11.6355436870339	23.9319333333333	40.4418666666667	NA	NA	NA	NA	12.5328617564621	11.6355436870339	12.5328617564621	11.6355436870339
GO:0015318	inorganic molecular entity transmembrane transporter activity	12.4593137092766	11.5641691601028	12.4593137092766	11.5641691601028	NA	NA	NA	NA	NA	NA	12.4593137092766	11.5641691601028	12.4593137092766	11.5641691601028
GO:0016829	lyase activity	12.2555540718893	10.8780852063013	12.2555540718893	10.8780852063013	748.954666666667	292.252333333333	NA	NA	NA	NA	12.2555540718893	10.8780852063013	12.2555540718893	10.8780852063013
GO:0016788	hydrolase activity, acting on ester bonds	11.8736735015537	11.0627297572495	11.8736735015537	11.0627297572495	269.757333333333	108.429666666667	NA	NA	NA	NA	11.8736735015537	11.0627297572495	11.8736735015537	11.0627297572495
GO:0016874	ligase activity	12.328468448318	11.4162729675591	12.328468448318	11.4162729675591	249.008	203.282	NA	NA	NA	NA	12.328468448318	11.4162729675591	12.328468448318	11.4162729675591
GO:0140098	catalytic activity, acting on RNA	12.3089303780083	11.1527447162834	12.3089303780083	11.1527447162834	NA	NA	NA	NA	NA	NA	12.3089303780083	11.1527447162834	12.3089303780083	11.1527447162834
GO:0022804	active transmembrane transporter activity	12.3954420286805	11.6261863891076	12.3954420286805	11.6261863891076	NA	NA	NA	NA	NA	NA	12.3954420286805	11.6261863891076	12.3954420286805	11.6261863891076
