id	name	namespace	T7_mean	T7A	T7B	T7C	T7A_n_peptide	T7B_n_peptide	T7C_n_peptide	T7A_n_samp_children	T7B_n_samp_children	T7C_n_samp_children
GO:0000014	single-stranded DNA endodeoxyribonuclease activity	molecular_function	-1.6076869740128263	-1.442485017105268	-1.127878876179041	-2.654253922742788	1	1	1	NA	NA	NA
GO:0000030	mannosyltransferase activity	molecular_function	1.6897002261949796	1.4634707514278433	2.132310322504191	1.3424352744587016	1	1	1	NA	NA	NA
GO:0000034	adenine deaminase activity	molecular_function	-2.409428957664274	-1.868826725071379	-2.974466527761888	-2.6111998925007667	1	1	1	NA	NA	NA
GO:0000036	acyl carrier activity	molecular_function	6.392341467495736	6.167090930582046	7.094774446011947	5.441433680247431	1	1	1	NA	NA	NA
GO:0000049	tRNA binding	molecular_function	9.61043062406998	9.497630327347194	9.943064208162003	9.316892426171496	1	1	1	NA	NA	NA
GO:0000062	fatty-acyl-CoA binding	molecular_function	-4.561628219367898	-4.031168713240699	-16.609640474436812	-3.9243660585744315	1	1	1	NA	NA	NA
GO:0000064	L-ornithine transmembrane transporter activity	molecular_function	-4.85175048411182	-16.609640474436812	-16.609640474436812	-3.267065729197672	1	1	1	1.0	1.0	1.0
GO:0000104	succinate dehydrogenase activity	molecular_function	-2.5386156124638117	-2.8806571044487628	-3.8312799275317437	-1.6883127521292318	2	2	2	1.0	1.0	1.0
GO:0000107	imidazoleglycerol-phosphate synthase activity	molecular_function	3.895823823568222	3.6535759922086357	4.478098160156256	3.2905910178535573	1	1	1	NA	NA	NA
GO:0000150	recombinase activity	molecular_function	6.566304071462576	6.853011440414416	7.191849925434606	4.491407241086826	3	3	3	1.0	1.0	1.0
GO:0000155	phosphorelay sensor kinase activity	molecular_function	6.777398234937502	6.958703501806386	7.054316699872098	6.165833573149141	1	1	1	NA	NA	NA
GO:0000156	phosphorelay response regulator activity	molecular_function	2.9379469587418003	3.3103619353923954	3.190535849555249	1.9781773212527796	1	1	1	NA	NA	NA
GO:0000166	nucleotide binding	molecular_function	13.546896278934312	13.65819165540138	13.75144576021586	13.165089551134628	16	16	16	6.0	6.0	6.0
GO:0000175	3'-5'-exoribonuclease activity	molecular_function	5.776347049425521	5.848708060055144	6.1561033067521445	5.149169926041936	1	1	1	NA	NA	NA
GO:0000179	rRNA (adenine-N6,N6-)-dimethyltransferase activity	molecular_function	3.5247950377480906	3.334811373895893	3.6815617079354026	3.5371469436175693	1	1	1	NA	NA	NA
GO:0000213	tRNA-intron endonuclease activity	molecular_function	-1.9434627126003474	-16.609640474436812	-0.959326356708845	-1.9123036307833836	1	1	1	NA	NA	NA
GO:0000286	alanine dehydrogenase activity	molecular_function	-2.4810177703726835	-3.2688862875750644	-1.635279664027312	-3.1622859933223295	1	1	1	NA	NA	NA
GO:0000287	magnesium ion binding	molecular_function	10.279345540322467	10.473523118434807	10.561526624136485	9.635255585809704	1	1	1	NA	NA	NA
GO:0000309	nicotinamide-nucleotide adenylyltransferase activity	molecular_function	-2.694041148992365	-2.1339577007867656	-2.084682563233315	-16.609640474436812	1	1	1	NA	NA	NA
GO:0000700	mismatch base pair DNA N-glycosylase activity	molecular_function	-3.460544365532894	-16.609640474436812	-16.609640474436812	-1.8756877479664118	1	1	1	1.0	1.0	1.0
GO:0000702	oxidized base lesion DNA N-glycosylase activity	molecular_function	2.3160655034282276	2.475414381775786	3.0930665737466847	-0.2432856428096202	3	3	3	2.0	2.0	2.0
GO:0000703	oxidized pyrimidine nucleobase lesion DNA N-glycosylase activity	molecular_function	-5.308009009319703	-16.609640474436812	-16.609640474436812	-3.7234275836923576	1	1	1	NA	NA	NA
GO:0000774	adenyl-nucleotide exchange factor activity	molecular_function	5.676223207373075	6.10548532578813	5.80642975490594	4.837156102629404	1	1	1	NA	NA	NA
GO:0000906	6,7-dimethyl-8-ribityllumazine synthase activity	molecular_function	5.225401808023253	5.128153150507509	6.102196193463745	3.0981618143749077	1	1	1	NA	NA	NA
GO:0000908	taurine dioxygenase activity	molecular_function	-5.436750477395014	-16.609640474436812	-16.609640474436812	-3.852204626267927	1	1	1	NA	NA	NA
GO:0000976	transcription regulatory region sequence-specific DNA binding	molecular_function	-0.3787772238129083	0.2532099399649732	-14.609640474436812	0.15752431278298554	4	4	4	3.0	3.0	3.0
GO:0000984	bacterial-type RNA polymerase transcription regulatory region sequence-specific DNA binding	molecular_function	-1.8735098843775937	-0.5801763728548677	-16.609640474436812	-2.7385630607727722	1	1	1	1.0	1.0	1.0
GO:0000986	bacterial-type cis-regulatory region sequence-specific DNA binding	molecular_function	-1.8735098843775937	-0.5801763728548677	-16.609640474436812	-2.7385630607727722	1	1	1	NA	NA	NA
GO:0000987	cis-regulatory region sequence-specific DNA binding	molecular_function	-0.5956221842115335	-0.10413282140630246	-15.609640474436812	0.07709667078263735	2	2	2	1.0	1.0	1.0
GO:0001046	core promoter sequence-specific DNA binding	molecular_function	-3.520068615182008	-1.9352164578014965	-16.609640474436812	-16.609640474436812	1	1	1	NA	NA	NA
GO:0001047	core promoter sequence-specific DNA binding	molecular_function	-5.63215780546402	-16.609640474436812	-16.609640474436812	-4.0476723982733045	1	1	1	NA	NA	NA
GO:0001067	regulatory region nucleic acid binding	molecular_function	0.06683340040626774	0.6815050379500909	-14.287712379549449	0.6214151941842128	5	5	5	1.0	1.0	1.0
GO:0001071	DNA-binding transcription factor activity	molecular_function	-4.096258298262202	-16.609640474436812	-16.609640474436812	-2.5114603122219195	1	1	1	NA	NA	NA
GO:0001141	DNA-binding transcription repressor activity	molecular_function	-4.288952728639082	-3.3702209507144256	-16.609640474436812	-4.139235797371172	1	1	1	NA	NA	NA
GO:0001671	ATPase activator activity	molecular_function	-5.006205759770257	-16.609640474436812	-16.609640474436812	-3.4215523938557397	1	1	1	NA	NA	NA
GO:0001716	L-amino-acid oxidase activity	molecular_function	2.7907914960453963	2.762136169901112	3.5746222863488293	1.0440303394757837	1	1	1	1.0	1.0	1.0
GO:0001727	lipid kinase activity	molecular_function	-3.318354640440225	-1.7334880846432492	-16.609640474436812	-16.609640474436812	1	1	1	NA	NA	NA
GO:0001882	nucleoside binding	molecular_function	10.153322615457032	10.16496286144176	10.429884885860533	9.795966668122063	3	3	3	2.0	2.0	2.0
GO:0001883	purine nucleoside binding	molecular_function	10.114808894779799	10.137042374249939	10.39499852521608	9.73795483299396	2	2	2	1.0	1.0	1.0
GO:0002094	polyprenyltransferase activity	molecular_function	-4.199983477535389	-4.002724070076593	-16.609640474436812	-3.3098886854090503	1	1	1	1.0	1.0	1.0
GO:0002161	aminoacyl-tRNA editing activity	molecular_function	7.271425676092934	7.092873397374415	7.323856410230938	7.381655420776721	1	1	1	NA	NA	NA
GO:0002935	tRNA (adenine-C2-)-methyltransferase activity	molecular_function	2.870904540003282	3.1312453957587256	3.511202348415656	0.8334163752704936	1	1	1	NA	NA	NA
GO:0003674	molecular_function	molecular_function	18.08736662036263	18.013622205016787	18.023887466642844	18.215498615479518	1438	1438	1438	12.0	12.0	12.0
GO:0003676	nucleic acid binding	molecular_function	13.835491707644243	13.869961487503755	14.208894245336529	13.279979118853367	33	33	33	6.0	6.0	6.0
GO:0003677	DNA binding	molecular_function	12.781234536094962	12.904991922520335	13.22463177838863	11.920385788945593	14	14	14	5.0	5.0	5.0
GO:0003678	DNA helicase activity	molecular_function	5.917267963764207	5.844125140367574	6.36710770083772	5.3683793311196215	6	6	6	2.0	2.0	2.0
GO:0003684	damaged DNA binding	molecular_function	7.560740425560379	7.906469748178359	7.829234355649498	6.63018702364627	1	1	1	NA	NA	NA
GO:0003688	DNA replication origin binding	molecular_function	4.7152838843284055	5.138327100288718	4.847651219455983	3.886891515496917	1	1	1	NA	NA	NA
GO:0003689	DNA clamp loader activity	molecular_function	-1.17274136464551	-1.709877614605821	-0.43201849992204716	-1.8169365899095131	1	1	1	NA	NA	NA
GO:0003690	double-stranded DNA binding	molecular_function	6.894863995487656	7.044389987998557	7.251932641105663	6.181684174027134	9	9	9	2.0	2.0	2.0
GO:0003697	single-stranded DNA binding	molecular_function	8.300715571930823	8.290885125672666	8.588246152044817	7.953759945497461	1	1	1	NA	NA	NA
GO:0003700	DNA-binding transcription factor activity	molecular_function	10.210640285128697	10.464307535897277	10.548417367440203	9.332208340839514	2	2	2	NA	NA	NA
GO:0003712	transcription coregulator activity	molecular_function	-0.019848659920909006	0.7263168110911665	0.31513724154274486	-4.0476723982733045	1	1	1	1.0	1.0	1.0
GO:0003714	transcription corepressor activity	molecular_function	-0.019848659920909006	0.7263168110911665	0.31513724154274486	-4.0476723982733045	1	1	1	1.0	1.0	1.0
GO:0003723	RNA binding	molecular_function	12.744631525165019	12.67389769077908	13.038223425834838	12.46211971099741	16	16	16	8.0	8.0	8.0
GO:0003725	double-stranded RNA binding	molecular_function	4.488185703398475	4.4692745242255425	5.065292689095423	3.548006218132837	2	2	2	1.0	1.0	1.0
GO:0003727	single-stranded RNA binding	molecular_function	0.617394408526645	0.6974446838846908	1.1511899056523245	-0.3964868794932151	2	2	2	2.0	2.0	2.0
GO:0003729	mRNA binding	molecular_function	6.0109780204433525	5.262279423338167	6.097526735281254	6.436472605391587	2	2	2	1.0	1.0	1.0
