id	name	namespace	T7_mean	T7A	T7B	T7C	T7A_n_peptide	T7B_n_peptide	T7C_n_peptide	T7A_n_samp_children	T7B_n_samp_children	T7C_n_samp_children
GO:0000014	single-stranded DNA endodeoxyribonuclease activity	molecular_function	-1.6076869740128263	-1.4424850171052679	-1.127878876179041	-2.654253922742788	1.0	1.0	1.0	0.0	0.0	0.0
GO:0000030	mannosyltransferase activity	molecular_function	1.6897002261949796	1.463470751427843	2.132310322504191	1.3424352744587016	1.0	1.0	1.0	0.0	0.0	0.0
GO:0000034	adenine deaminase activity	molecular_function	-2.409428957664274	-1.8688267250713793	-2.974466527761888	-2.6111998925007667	1.0	1.0	1.0	0.0	0.0	0.0
GO:0000036	acyl carrier activity	molecular_function	6.3923414674957355	6.167090930582045	7.0947744460119475	5.441433680247432	1.0	1.0	1.0	0.0	0.0	0.0
GO:0000049	tRNA binding	molecular_function	9.61043062406998	9.497630327347192	9.943064208162003	9.316892426171496	1.0	1.0	1.0	0.0	0.0	0.0
GO:0000062	fatty-acyl-CoA binding	molecular_function	-4.561628219367899	-4.031168713240699	-16.609640474436812	-3.924366058574432	1.0	1.0	1.0	0.0	0.0	0.0
GO:0000107	imidazoleglycerol-phosphate synthase activity	molecular_function	3.895823823568222	3.653575992208636	4.478098160156256	3.2905910178535573	1.0	1.0	1.0	0.0	0.0	0.0
GO:0000155	phosphorelay sensor kinase activity	molecular_function	6.777398234937503	6.9587035018063865	7.054316699872098	6.165833573149141	1.0	1.0	1.0	0.0	0.0	0.0
GO:0000156	phosphorelay response regulator activity	molecular_function	2.9379469587418003	3.3103619353923954	3.1905358495552485	1.97817732125278	1.0	1.0	1.0	0.0	0.0	0.0
GO:0000166	nucleotide binding	molecular_function	13.546896278934312	13.65819165540138	13.751445760215859	13.165089551134626	16.0	16.0	16.0	6.0	6.0	6.0
GO:0000175	3'-5'-exoribonuclease activity	molecular_function	5.776347049425521	5.848708060055144	6.1561033067521445	5.149169926041936	1.0	1.0	1.0	0.0	0.0	0.0
GO:0000179	rRNA (adenine-N6,N6-)-dimethyltransferase activity	molecular_function	3.5247950377480906	3.334811373895893	3.6815617079354026	3.5371469436175693	1.0	1.0	1.0	0.0	0.0	0.0
GO:0000213	tRNA-intron endonuclease activity	molecular_function	-1.9434627126003476	-16.609640474436812	-0.9593263567088449	-1.912303630783384	1.0	1.0	1.0	0.0	0.0	0.0
GO:0000286	alanine dehydrogenase activity	molecular_function	-2.4810177703726835	-3.2688862875750644	-1.6352796640273117	-3.162285993322329	1.0	1.0	1.0	0.0	0.0	0.0
GO:0000287	magnesium ion binding	molecular_function	10.279345540322467	10.473523118434807	10.561526624136485	9.635255585809704	1.0	1.0	1.0	0.0	0.0	0.0
GO:0000309	nicotinamide-nucleotide adenylyltransferase activity	molecular_function	-2.694041148992365	-2.1339577007867656	-2.084682563233315	-16.609640474436812	1.0	1.0	1.0	0.0	0.0	0.0
GO:0000702	oxidized base lesion DNA N-glycosylase activity	molecular_function	2.316065503428228	2.4754143817757863	3.0930665737466847	-0.2432856428096202	3.0	3.0	3.0	2.0	2.0	2.0
GO:0000703	oxidized pyrimidine nucleobase lesion DNA N-glycosylase activity	molecular_function	-5.3080090093197025	-16.609640474436812	-16.609640474436812	-3.7234275836923576	1.0	1.0	1.0	0.0	0.0	0.0
GO:0000774	adenyl-nucleotide exchange factor activity	molecular_function	5.676223207373075	6.10548532578813	5.80642975490594	4.837156102629404	1.0	1.0	1.0	0.0	0.0	0.0
GO:0000906	6,7-dimethyl-8-ribityllumazine synthase activity	molecular_function	5.225401808023253	5.128153150507509	6.102196193463745	3.098161814374908	1.0	1.0	1.0	0.0	0.0	0.0
GO:0000908	taurine dioxygenase activity	molecular_function	-5.436750477395013	-16.609640474436812	-16.609640474436812	-3.852204626267927	1.0	1.0	1.0	0.0	0.0	0.0
GO:0000976	transcription regulatory region sequence-specific DNA binding	molecular_function	-0.3787772238129083	0.2532099399649732	-14.609640474436812	0.15752431278298554	4.0	4.0	4.0	3.0	3.0	3.0
GO:0000986	bacterial-type cis-regulatory region sequence-specific DNA binding	molecular_function	-1.8735098843775937	-0.5801763728548677	-16.609640474436812	-2.738563060772772	1.0	1.0	1.0	0.0	0.0	0.0
GO:0001046	core promoter sequence-specific DNA binding	molecular_function	-3.520068615182008	-1.9352164578014963	-16.609640474436812	-16.609640474436812	1.0	1.0	1.0	0.0	0.0	0.0
GO:0001047	core promoter sequence-specific DNA binding	molecular_function	-5.632157805464019	-16.609640474436812	-16.609640474436812	-4.0476723982733045	1.0	1.0	1.0	0.0	0.0	0.0
GO:0001071	DNA-binding transcription factor activity	molecular_function	-4.096258298262201	-16.609640474436812	-16.609640474436812	-2.5114603122219195	1.0	1.0	1.0	0.0	0.0	0.0
GO:0001141	DNA-binding transcription repressor activity	molecular_function	-4.2889527286390825	-3.3702209507144256	-16.609640474436812	-4.139235797371172	1.0	1.0	1.0	0.0	0.0	0.0
GO:0001671	ATPase activator activity	molecular_function	-5.006205759770257	-16.609640474436812	-16.609640474436812	-3.42155239385574	1.0	1.0	1.0	0.0	0.0	0.0
GO:0001727	lipid kinase activity	molecular_function	-3.318354640440225	-1.7334880846432492	-16.609640474436812	-16.609640474436812	1.0	1.0	1.0	0.0	0.0	0.0
